FIPS,LOAD_AREA,AADT,AADT_SINGL,AADT_COMBI,AADTT,Total_VMT,HD_VMT,LD_VMT
32001,NV_N,920,0.0,0.0,0,625.9708949010153,0.0,625.9708949010153
32001,NV_N,670,46.0,46.0,92,24313.07243963364,3338.5114394720817,20974.56100016156
32003,NV_S,3850,50.0,159.0,209,278545.708178508,15121.052729690433,263424.65544881753
32003,NV_S,3900,50.0,161.0,211,329042.961711012,17802.06792846757,311240.8937825444
32009,NV_S,2950,38.0,122.0,160,108388.22125840407,5878.683186896492,102509.53807150757
32003,NV_S,550,7.0,23.0,30,20207.973454956693,1102.2530975430923,19105.7203574136
32005,NV_N,29500,744.0,1041.0,1785,2488914.7103781677,150600.43247542472,2338314.277902743
32031,NV_N,860,22.0,30.0,52,31402.87322753427,1898.7783811997465,29504.094846334523
32003,NV_S,5500,0.0,0.0,0,701042.0420793617,0.0,701042.0420793617
32023,NV_N,190,6.0,12.0,18,10600.681024519368,1004.2750444281507,9596.405980091218
32003,NV_S,137000,3631.0,17519.0,21150,9539025.314725291,1472630.5504119701,8066394.764313321
32003,NV_S,19500,300.0,244.0,544,1804429.14486684,50338.94640038774,1754090.1984664523
32007,NV_N,6600,337.0,1842.0,2179,240998.7945368909,79566.11716604323,161432.67737084767
32003,NV_S,8600,0.0,0.0,0,362790.9577839363,0.0,362790.9577839363
32003,NV_S,155000,4876.0,27900.0,32776,8331536.530503188,1761770.589185629,6569765.941317559
