registry_id,primary_name,latitude83,longitude83,naics_code
110024870380,REG - ALBERT LEA,43.574095,-93.300297,325199
110032967957,POET BIOREFINING GLENVILLE LLC,43.576274,-93.301773,325199
110032967957,POET BIOREFINING GLENVILLE LLC,43.576274,-93.301773,325193
110008740817,NATURAL BIOLOGICS LLC,43.6803,-93.34612,325412
110032967957,POET BIOREFINING GLENVILLE LLC,43.576274,-93.301773,325199
110032967957,POET BIOREFINING GLENVILLE LLC,43.576274,-93.301773,325193
110068188641,ALBERT LEA CITY OF,43.649774,-93.367051,325320
110001149659,IMPERIAL INC,43.6615,-93.397029,325320
110008740817,NATURAL BIOLOGICS LLC,43.6803,-93.34612,325412
110001149659,IMPERIAL INC,43.6615,-93.397029,325320
110024870380,REG - ALBERT LEA,43.574095,-93.300297,325199
110024870380,REG - ALBERT LEA,43.574095,-93.300297,325199
110000426771,AIRGAS NORTH CENTRAL INC,43.618999,-93.349909,325120
110001149659,IMPERIAL INC,43.6615,-93.397029,325320
110024870380,REG - ALBERT LEA,43.574095,-93.300297,325199
110032967957,POET BIOREFINING GLENVILLE LLC,43.576274,-93.301773,325193
110070327562,PROFITPRO LLC,43.64605,-93.37981,325320
110022575480,VALERO - ALBERT CITY,42.777872,-94.939299,325193
110022575480,VALERO - ALBERT CITY,42.777872,-94.939299,325193
110022575480,VALERO - ALBERT CITY,42.777872,-94.939299,325193
110022575480,VALERO - ALBERT CITY,42.777872,-94.939299,325193
110022575480,VALERO - ALBERT CITY,42.777872,-94.939299,325193
110007044894,AG PARTNERS,42.781806,-94.943528,325314
110022575480,VALERO - ALBERT CITY,42.777872,-94.939299,325193
110022575480,VALERO - ALBERT CITY,42.777872,-94.939299,325110
110022575480,VALERO - ALBERT CITY,42.777872,-94.939299,325193
110022575480,VALERO - ALBERT CITY,42.777872,-94.939299,325193
110037062503,APEC LLC,45.576844,-96.042908,325193
110037062503,APEC LLC,45.576844,-96.042908,325199
110037062503,APEC LLC,45.576844,-96.042908,325193
110037062503,APEC LLC,45.576844,-96.042908,325199
110039220937,ADVANCED ASYMMETRICS INC,38.52639,-89.61192,325998
110035816588,"HYDROLABS, INC.",35.350327,-80.220819,325613
110035816588,"HYDROLABS, INC.",35.350327,-80.220819,325613
110000496598,PREFORMED LINE PRODUCTS COMPANY,35.34279,-80.16595,325211
110000496598,PREFORMED LINE PRODUCTS COMPANY,35.34279,-80.16595,325211
110035816588,"HYDROLABS, INC.",35.350327,-80.220819,325613
110035816588,"HYDROLABS, INC.",35.350327,-80.220819,325199
110001324326,T.H. AGRICULTURE & NUTRITION CO. (ALBANY PLANT),31.617361,-84.181661,325320
110001324273,ESTECH GENERAL CHEMICALS,31.597097,-84.153895,325311
110012703468,EBAA IRON JACK RABBIT DIVISION,32.66249,-99.24166,331511
110019111469,SURPASS CHEMICAL CO,42.665556,-73.740833,325998
110009467530,ALBANY LOCAL DEVELOPMENT CORP,42.63872,-73.75919,32552
110009467530,ALBANY LOCAL DEVELOPMENT CORP,42.63872,-73.75919,325611
110009467530,ALBANY LOCAL DEVELOPMENT CORP,42.63872,-73.75919,325612
110014397198,WILCO REFINING LLC,36.658611,-85.173056,324110
110066983456,ADCO PROFESSIONAL PRODUCTS LLC,31.622835,-84.184433,325612
110000361000,MERCK & CO INC,31.500833,-84.128333,325411
110034208916,EBAA IRON JACK RABBIT DIVISION,32.6625,-99.241666,331511
110000487973,ABSORBENT TECHNOLOGIES SITE,44.621557,-123.102006,325998
110032649454,EQUINOX CHEMICALS LLC,31.54907,-84.21448,325199
110014397198,WILCO REFINING LLC,36.658611,-85.173056,324110
110000487973,ABSORBENT TECHNOLOGIES SITE,44.621557,-123.102006,325199
110000487973,ABSORBENT TECHNOLOGIES SITE,44.621557,-123.102006,325199
110000487973,ABSORBENT TECHNOLOGIES SITE,44.621557,-123.102006,325320
