AIRPORT,demand_mwh_h2,Latitude,Longitude,total_h2_demand_kg
DGW,0.3925847339984645,42.79722222,-105.38583333,11.757554177851588
DIJ,0.05197245488908592,43.742667,-111.096829,1.5565275498378532
DLN,3.9461040833534553,45.255401611299995,-112.553001404,118.18221273894744
DLS,0.00034901012565090523,45.61944444,-121.16833333,0.010452534460943552
DMA,0.00013608610055518026,32.16638889,-110.88305556,0.004075654404168322
DMN,1.2013895242185334e-05,32.2625,-107.71888889,0.00035980518844520317
DRO,1.6118784676989948,37.15166667,-107.75388889,48.27428774180876
DVO,6.892342992941952e-06,38.143600463867,-122.55599975586,0.0002064193768476176
DVT,0.00016198653701261846,33.68833333,-112.0825,0.0048513488173889925
DWA,0.0,38.57944444,-121.85694444,0.0
DWX,2.0282056166785845,41.038299560547,-107.49700164795,60.742905560904
E16,0.0,37.08160019,-121.5970001,0.0
E25,0.0,33.970172,-112.796043,0.0
E91,4.116888767063325e-06,36.110900878906,-109.57499694824,0.00012329705801327717
EAN,8.001375177228878,42.05555556,-104.92833333,239.6338777247343
EAT,0.020367638018779517,47.39888889,-120.20694444,0.6099921539017525
EDU,3.365374998369979e-07,38.531502,-121.786489,1.0078990710901404e-05
EDW,2.96536548016099e-05,34.90805556,-117.88555556,0.0008880998742620515
EGE,18.684661106501558,39.64277778,-106.91583333,559.5885326894746
EIK,0.0,40.010200500488,-105.047996521,0.0
EKA,1.4161827186286588e-05,40.80333333,-124.11277778,0.00042413378814874477
EKO,0.001748221171703633,40.825,-115.79138889,0.05235762718489467
EKS,0.006426033284871973,45.271801,-111.649002,0.19245382704019084
ELN,0.0,47.03472222,-120.52888889,0.0
ELP,17720960.141567416,31.80666667,-106.37333333,530726569.0795872
ELY,0.0,39.29972222,-114.84194444,0.0
EMT,5.631902429127558e-06,34.08611111,-118.03472222,0.00016867033330720448
ENV,0.0074405599690976,40.71861111,-114.02861111,0.22283797451625037
EUG,1261.598582085154,44.12472222,-123.21083333,37783.7251298339
EUL,0.0,43.641899,-116.636002,0.0
EVW,0.0,41.27472222,-111.03472222,0.0
F70,2.4637859940817036e-05,33.5742,-117.127998,0.000737881399844775
