date,demand_mwh_baseline,demand_mwh_industry,demand_mwh_transport,demand_mwh_aviation
230,88117.8799160259,313707.3334247697,304088.8717333161,482890.8772310251
231,88117.8799160259,313707.3334247697,308798.5065044974,507703.8110719973
232,88117.8799160259,160677.19208425898,276874.9911164609,478047.3572935535
233,88117.8799160259,160677.19208425898,291694.51449964335,495455.0215988814
234,88117.8799160259,313707.3334247697,269866.61201873864,540897.5741495449
235,88117.8799160259,313707.3334247697,277157.24133240164,516942.2874741172
236,88117.8799160259,313707.3334247697,288508.5801651017,390450.8387018886
237,88117.8799160259,313707.3334247697,305466.8022514726,474488.11714037345
238,88117.8799160259,313707.3334247697,310197.7779803427,481544.13282789075
239,88117.8799160259,160677.19208425898,282676.28153795743,464567.47645374824
240,88117.8799160259,160677.19208425898,297806.31449915044,479819.7521147389
241,88117.8799160259,313707.3334247697,275521.0576197634,533246.5856519578
242,88117.8799160259,313707.3334247697,282964.4456268984,514394.9307144744
243,88117.8799160259,313707.3334247697,294553.6260827237,374320.13400824356
244,88117.8799160259,313707.3334247697,311867.1695201648,384769.66957239254
245,88117.8799160259,313707.3334247697,316697.2721241033,472964.84044016624
246,88117.8799160259,160677.19208425898,280960.1574486395,452508.14039736794
247,88117.8799160259,160677.19208425898,295998.3361379124,464449.3226418593
248,88117.8799160259,313707.3334247697,273848.37277833815,518091.1091633118
249,88117.8799160259,313707.3334247697,281246.5720782402,501261.7547885795
250,88117.8799160259,313707.3334247697,292765.39474259,380785.2034976544
251,88117.8799160259,313707.3334247697,309973.82791805896,468675.7688719858
252,88117.8799160259,313707.3334247697,314774.6070126843,500536.93959840835
253,88117.8799160259,160677.19208425898,282136.82387517055,474891.9887340457
254,88117.8799160259,160677.19208425898,297237.9826819974,486635.8050034954
255,88117.8799160259,313707.3334247697,274995.2548759937,540676.7394706185
256,88117.8799160259,313707.3334247697,282424.437983829,517390.2716449278
257,88117.8799160259,313707.3334247697,293991.5016531102,390701.633425852
258,88117.8799160259,313707.3334247697,311272.0041339196,484976.2082984126
259,88117.8799160259,313707.3334247697,316092.8889520008,504632.2261267437
260,88117.8799160259,160677.19208425898,284037.43254828476,483486.144308869
261,88117.8799160259,160677.19208425898,299240.31995307,489241.7130529583
262,88117.8799160259,313707.3334247697,276847.75449771015,543181.0092647953
263,88117.8799160259,313707.3334247697,284326.9841445683,519312.7331428834
264,88117.8799160259,313707.3334247697,295971.9690656627,396955.1106846798
265,88117.8799160259,313707.3334247697,313368.88131982734,493689.58336958557
266,88117.8799160259,313707.3334247697,318222.2419072507,497696.3282701049
267,88117.8799160259,160677.19208425898,278699.0839274187,471499.80370037316
268,88117.8799160259,160677.19208425898,293616.2403105578,490632.8265899349
269,88117.8799160259,313707.3334247697,271644.5324785274,538354.2756311826
270,88117.8799160259,313707.3334247697,278983.19355254713,520126.38023718284
271,88117.8799160259,313707.3334247697,290409.31653177505,390951.82998901774
272,88117.8799160259,313707.3334247697,307479.26205614296,488992.9939444035
273,88117.8799160259,313707.3334247697,312241.4060498606,498778.36925136426
274,88117.8799160259,160677.19208425898,287702.52456951473,461128.87887651956
275,88117.8799160259,160677.19208425898,303101.58326628443,473328.7573667535
276,88117.8799160259,313707.3334247697,280420.0741501356,533078.4399728241
277,88117.8799160259,313707.3334247697,287995.81242661376,522559.67912358494
278,88117.8799160259,313707.3334247697,299791.0590480642,390880.2232895044
279,88117.8799160259,313707.3334247697,317412.45324493403,489126.8463619673
280,88117.8799160259,313707.3334247697,322328.4394430996,506606.6686032836
281,88117.8799160259,160677.19208425898,291847.5159105184,490143.45091087476
282,88117.8799160259,160677.19208425898,307468.43204557366,495601.3824132285
283,88117.8799160259,313707.3334247697,284460.14563331526,550470.5526256482
284,88117.8799160259,313707.3334247697,292145.0291912207,529612.8239771886
285,88117.8799160259,313707.3334247697,304110.21238530276,406595.7925884282
286,88117.8799160259,313707.3334247697,321985.48182452726,483505.729412056
287,88117.8799160259,313707.3334247697,326972.2936438135,496950.30947699334
288,88117.8799160259,160677.19208425898,291882.6705581782,488726.7644718983
289,88117.8799160259,160677.19208425898,307505.4682810035,504955.6672323864
290,88117.8799160259,313707.3334247697,284494.41040451126,556012.5040031272
291,88117.8799160259,313707.3334247697,292180.2196557538,533767.6326393286
292,88117.8799160259,313707.3334247697,304146.84409528796,404051.7945703408
293,88117.8799160259,313707.3334247697,322024.2667512518,502554.2420186315
294,88117.8799160259,313707.3334247697,327011.67924006085,520557.24805207615
