day_of_year,demand_mwh_baseline,demand_mwh_Iron_and_Steel,demand_mwh_Aluminum,demand_mwh_Cement,demand_mwh_Chemicals,demand_mwh_Refineries,demand_mwh_Glass,demand_mwh_Light_Duty_Transport,demand_mwh_Heavy_Duty_Transport,demand_mwh_aviation,demand_mwh_total
123,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,109768.99675533222,160629.2929137356,507592.09975693177,1179815.602766795
124,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,114264.73159750116,167208.07508281083,387522.0920115828,1070820.1120326903
125,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,120981.08645928395,177036.38729071122,462548.1233305471,1162390.8104213378
126,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,122854.80530328029,179778.2712120356,504575.1698209704,1209033.4596770818
127,88117.8799160259,8551.111055207073,1576.744324521749,29153.07751613546,11706.398083619217,102220.78934988624,7469.071754889239,110331.04518808048,162295.27210536585,493802.41488496854,1015223.8041786997
128,88117.8799160259,8551.111055207073,1576.744324521749,29153.07751613546,11706.398083619217,102220.78934988624,7469.071754889239,116236.43255078295,170982.0009633847,509175.1833692364,1045188.6888836889
129,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,107538.29967777207,158187.18269137703,545992.4738333893,1213543.1695433338
130,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,110443.51928611858,162460.71699868084,533219.2940251471,1207948.743650742
131,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,114966.88009311477,169114.50752952805,397600.7648011777,1083507.365764616
132,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,121724.50646883083,179054.87780209028,445475.74040703085,1148080.3380187475
133,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,123609.73917934681,181828.02347001483,501024.6663313426,1208287.6423214998
134,88117.8799160259,8551.111055207073,1576.744324521749,29153.07751613546,11706.398083619217,102220.78934988624,7469.071754889239,113166.2402879816,165999.0135364204,501383.1928441557,1029343.5186688426
135,88117.8799160259,8551.111055207073,1576.744324521749,29153.07751613546,11706.398083619217,102220.78934988624,7469.071754889239,119223.37936558183,174883.98228864206,509207.4631457678,1052109.8968002766
136,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,110301.72913480632,161797.17338793582,532824.9622519974,1206749.078115535
137,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,113281.60465150284,166168.234048692,531669.053013694,1212944.1050546844
138,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,117921.20300862119,172973.87077532153,402525.55589272914,1095245.8430174673
139,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,124852.48122598103,183141.09030073576,478418.551015067,1188237.3358825792
140,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,126786.15907298526,185977.52194348507,515433.28071247577,1230022.1750697417
141,88117.8799160259,8551.111055207073,1576.744324521749,29153.07751613546,11706.398083619217,102220.78934988624,7469.071754889239,114857.18624442488,167293.09186775272,514263.6970113975,1045209.0471238599
142,88117.8799160259,8551.111055207073,1576.744324521749,29153.07751613546,11706.398083619217,102220.78934988624,7469.071754889239,121004.83195019282,176247.32516132234,514738.0439994298,1060785.2731112298
143,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,111949.8731607505,163058.4954385407,551634.8783812813,1228468.4603213682
144,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,114974.27439857057,167463.6315721899,521262.79560341703,1205525.914914973
